Sample Names	MutationType	DBS2	DBS4	DBS6	DBS7	DBS9	DBS11
Kidney-RCC::S.1	AC>CA	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	AC>CG	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	AC>CT	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	AC>GA	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	AC>GG	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	AC>GT	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	AC>TA	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	AC>TG	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	AC>TT	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	AT>CA	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	AT>CC	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	AT>CG	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	AT>GA	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	AT>GC	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	AT>TA	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	CC>AA	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	CC>AG	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	CC>AT	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	CC>GA	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	CC>GG	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	CC>GT	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	CC>TA	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	CC>TG	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	CC>TT	1.0	0.0	0.0	0.0	0.0	0.0
Kidney-RCC::S.1	CG>AT	1.0	0.0	0.0	0.0	0.0	0.0
