MutationType	DBS2	DBS3	DBS4	DBS5	DBS7	DBS9	DBS10
AC>CA	0.00037408	0.00634732	0.00414186	0.00213982	0.04588013	0.02459182	0.00963042
AC>CG	0.00003170	0.00004650	0.00004960	0.00046196	0.00624729	0.00206931	0.00001770
AC>CT	0.00012603	0.00301873	0.00000000	0.00201983	0.01359411	0.02849052	0.01350059
AC>GA	0.00023705	0.00584753	0.00440197	0.00055795	0.00972579	0.02529158	0.00535023
AC>GG	0.00000000	0.00044981	0.00000000	0.00000000	0.00253890	0.00712763	0.00059003
AC>GT	0.00028006	0.01009574	0.00000001	0.00082193	0.00449805	0.01209598	0.02870124
AC>TA	0.00148031	0.00100957	0.00127057	0.00147988	0.00541765	0.04118630	0.00010501
AC>TG	0.00000636	0.00000000	0.00005310	0.00111991	0.00099757	0.01789405	0.00000766
AC>TT	0.00292062	0.00000178	0.00016107	0.00746938	0.00117949	0.04438523	0.00071003
AT>CA	0.00003780	0.00703703	0.00091641	0.00010799	0.01109520	0.01269578	0.00353015
AT>CC	0.00000000	0.00907617	0.00000000	0.00002130	0.00625729	0.00177941	0.00116005
AT>CG	0.00000000	0.01459384	0.00000000	0.00000000	0.00110952	0.00000000	0.00259011
AT>GA	0.00016804	0.00180924	0.00032415	0.00110991	0.01439377	0.00636788	0.00008060
AT>GC	0.00000585	0.00524779	0.00001760	0.00000000	0.00928598	0.00180940	0.00408018
AT>TA	0.00045810	0.00234901	0.00453203	0.00079293	0.03398528	0.00919694	0.00293013
CC>AA	0.72415324	0.00908617	0.00000000	0.00000000	0.00000000	0.00000000	0.01370059
CC>AG	0.07261537	0.00000000	0.00543244	0.02429798	0.00008300	0.02639122	0.00007130
CC>AT	0.10002116	0.00588752	0.01570704	0.00242980	0.00085163	0.01949351	0.01050046
CC>GA	0.01770375	0.00063473	0.00355159	0.00006760	0.00030187	0.01099634	0.00339015
CC>GG	0.00045010	0.00007250	0.00007300	0.00001190	0.00204911	0.00305898	0.00000000
CC>GT	0.00110023	0.00000000	0.00007990	0.00002480	0.00016293	0.01789405	0.00108005
CC>TA	0.01600339	0.02079123	0.00017008	0.00126989	0.00000000	0.00068677	0.02390104
CC>TG	0.00023705	0.00002900	0.00000830	0.00480960	0.00023590	0.01549485	0.00000000
CC>TT	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.02060089
CG>AT	0.00115024	0.00028388	0.00029013	0.00163986	0.00006210	0.00021893	0.00000000
CG>GC	0.00036908	0.00000000	0.00000510	0.00009920	0.00018692	0.00001200	0.00001900
CG>GT	0.00128027	0.00000000	0.00000000	0.00647946	0.00002070	0.00009940	0.00001020
CG>TA	0.00000000	0.09785873	0.00000000	0.00000000	0.00000000	0.00000000	0.35801552
CG>TC	0.00215045	0.00072170	0.00000000	0.00002980	0.00004870	0.00013296	0.00265012
CG>TT	0.00556118	0.00716698	0.00036116	0.00221981	0.00003130	0.00008290	0.00777034
CT>AA	0.00321068	0.00010296	0.00000000	0.46596124	0.00000000	0.00000000	0.00393017
CT>AC	0.00000000	0.02908773	0.00000000	0.20898262	0.00000000	0.00000000	0.01300056
CT>AG	0.00058712	0.11395194	0.00036316	0.02669778	0.00125946	0.00058181	0.02650115
CT>GA	0.00001810	0.00001720	0.00067330	0.01609866	0.00186919	0.00283906	0.00000000
CT>GC	0.00013403	0.00002690	0.00007220	0.00484960	0.01559325	0.00310897	0.00000000
CT>GG	0.00008980	0.00005990	0.00092641	0.00056995	0.00399827	0.01039654	0.00000000
CT>TA	0.00338071	0.00018392	0.00000000	0.00333972	0.00000000	0.00000000	0.00403018
CT>TC	0.00003840	0.00633733	0.00000000	0.00023698	0.06317264	0.00003000	0.00275012
CT>TG	0.00039008	0.05217799	0.00003080	0.00087393	0.00000000	0.00000000	0.04570198
GC>AA	0.00508108	0.00002160	0.32814716	0.00013299	0.00000000	0.00000000	0.00408018
GC>AG	0.00032507	0.00052178	0.01130507	0.00265978	0.00007300	0.12395876	0.00000000
GC>AT	0.00095320	0.00398832	0.00924415	0.00156987	0.00034985	0.12595809	0.00775034
GC>CA	0.00106022	0.00023690	0.01190534	0.00457962	0.00066971	0.02739089	0.00010501
GC>CG	0.00006690	0.00000000	0.00000098	0.00032297	0.00264885	0.00249917	0.00000000
GC>TA	0.00073616	0.00422822	0.01770794	0.00022198	0.00000624	0.01399534	0.00281012
TA>AT	0.00275058	0.00144939	0.03041364	0.00186984	0.05577585	0.01549485	0.01040045
TA>CG	0.00001890	0.00333859	0.00038918	0.00000789	0.00304868	0.00134955	0.00411018
TA>CT	0.00028006	0.00034386	0.00872391	0.00226981	0.02908740	0.01419528	0.00162007
TA>GC	0.00008220	0.00198916	0.00007020	0.00005220	0.00150935	0.00057881	0.00000000
TA>GG	0.00007890	0.00545770	0.00222100	0.00162986	0.00430813	0.00324892	0.00859037
TA>GT	0.00130028	0.00036185	0.00806362	0.00190984	0.02628862	0.00777741	0.00361016
TC>AA	0.00145031	0.00548769	0.37917005	0.04039664	0.01959152	0.00368877	0.00756033
TC>AG	0.00020004	0.00000614	0.00187084	0.01489876	0.00000400	0.04668447	0.00027101
TC>AT	0.00000000	0.00111953	0.00841377	0.00074794	0.00228901	0.05178277	0.00309013
TC>CA	0.00068214	0.06547239	0.08463796	0.00142988	0.00270883	0.04878377	0.02520109
TC>CG	0.00000389	0.00011595	0.00040018	0.00000000	0.00162929	0.00778741	0.00084204
TC>CT	0.00335071	0.01939182	0.00000828	0.00104991	0.00918602	0.05138290	0.02620114
TC>GA	0.00088519	0.07776720	0.03641633	0.00002460	0.00000000	0.01729425	0.04380190
TC>GG	0.00000987	0.00017693	0.00001040	0.00003480	0.00070569	0.00372876	0.00000000
TC>GT	0.00008570	0.04338170	0.00000000	0.00003860	0.00000000	0.00000000	0.04590199
TG>AA	0.00296063	0.00006680	0.00763342	0.01799850	0.02259022	0.01579474	0.00142006
TG>AC	0.00022005	0.00008040	0.00011805	0.00145988	0.00261887	0.00726758	0.00020701
TG>AT	0.00429091	0.00095760	0.00000000	0.02039830	0.00128944	0.00074575	0.00250011
TG>CA	0.00014403	0.01589330	0.00080436	0.00047596	0.02388965	0.02279242	0.02920127
TG>CC	0.00005940	0.00048380	0.00012005	0.00050596	0.00104955	0.01179607	0.00019001
TG>CT	0.00307065	0.00606744	0.00008210	0.00032797	0.00000000	0.00096768	0.00433019
TG>GA	0.00147031	0.00052278	0.00785352	0.00326973	0.00824643	0.00617794	0.00002020
TG>GC	0.00027206	0.00049779	0.00060427	0.00029198	0.00387832	0.00390870	0.00000000
TG>GT	0.00640136	0.01029566	0.00003230	0.08269312	0.00870623	0.00333889	0.00217009
TT>AA	0.00431091	0.00321864	0.00001800	0.00491959	0.23489828	0.00034089	0.01450063
TT>AC	0.00034507	0.00242898	0.00000066	0.00096592	0.03998269	0.00665779	0.00000000
TT>AG	0.00021505	0.02289035	0.00000000	0.00089293	0.05387667	0.00091769	0.00696030
TT>CA	0.00000000	0.00069371	0.00000000	0.00000000	0.09765771	0.00000000	0.00129006
TT>CC	0.00000298	0.00815656	0.00000000	0.00077294	0.03538468	0.00515828	0.00288012
TT>CG	0.00001520	0.03178660	0.00000000	0.00000000	0.00266884	0.00001980	0.00858037
TT>GA	0.00004790	0.01229482	0.00000000	0.00002990	0.04358113	0.00000000	0.00869038
TT>GC	0.00000154	0.06647197	0.00000000	0.00005660	0.00366841	0.00003560	0.02580112
TT>GG	0.00000000	0.17092792	0.00000000	0.00000000	0.00000000	0.00000000	0.08470367
