Sample Names	MutationType	DBS2	DBS3	DBS4	DBS6	DBS7	DBS8	DBS9	DBS10
ColoRect-AdenoCA::S.1	AC>CA	0.0	0.0	0.0	0.020019202013050793	0.9799807979869493	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>CG	0.0	0.0	0.0	0.008167169389027501	0.9918328306109725	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>CT	0.0	0.0	0.0	0.006182147633807077	0.9938178523661928	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>GA	0.0	0.0	0.0	0.2371294700248368	0.7628705299751631	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>GG	0.0	0.0	0.0	0.014227757442229462	0.9857722425577705	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>GT	0.0	0.0	0.0	0.010234204798493539	0.9897657952015064	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>TA	0.0	0.0	0.0	0.39645394715545607	0.603546052844544	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>TG	0.0	0.0	0.0	0.13688196632582034	0.8631180336741797	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AC>TT	0.0	0.0	0.0	0.48716898984076024	0.5128310101592398	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AT>CA	0.0	0.0	0.0	0.003607220489132851	0.9963927795108671	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AT>CC	0.0	0.0	0.0	0.0035853114726301003	0.99641468852737	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AT>CG	0.0	0.0	0.0	0.0005776406066833687	0.9994223593933167	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AT>GA	0.0	0.0	0.0	0.0381437120958318	0.9618562879041682	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AT>GC	0.0	0.0	0.0	0.0006522132729658481	0.9993477867270342	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	AT>TA	0.0	0.0	0.0	0.022300239004509646	0.9776997609954904	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	CC>AA	0.0	0.0	0.0	0.24451085124604946	0.7554891487539505	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	CC>AG	0.0	0.0	0.0	0.9961921463460668	0.0038078536539332304	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	CC>AT	0.0	0.0	0.0	0.15341425399266548	0.8465857460073345	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	CC>GA	0.0	0.0	0.0	0.9764353052197583	0.023564694780241726	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	CC>GG	0.0	0.0	0.0	0.7568285654353569	0.24317143456464302	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	CC>GT	0.0	0.0	0.0	0.8815065220396726	0.11849347796032743	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	CC>TA	0.0	0.0	0.0	0.9999999999999885	1.1551947624200894e-14	0.0	0.0	0.0
ColoRect-AdenoCA::S.1	CC>TG	0.0	0.0	0.0	0.911200788780439	0.08879921121956103	0.0	0.0	0.0
